Price;Close;High;Low;Open;Volume
Ticker;MAT;MAT;MAT;MAT;MAT
Date;;;;;
1985-01-01;1.6919078826904297;1.7260880605740583;1.350108133180222;1.4184683695753568;11456177
1985-02-01;1.7773573398590088;1.9140768138463986;1.6577272927886855;1.691907340343659;14254394
1985-03-01;1.879897952079773;1.9482577148297706;1.6919079778136021;1.7773580095244539;13167116
1985-04-01;1.7773573398590088;1.948256980773456;1.7260875072707165;1.89698702881308;6307249
1985-05-01;1.9140771627426147;2.0337074703632076;1.640637687437204;1.7944475713546562;21416014
1985-06-01;2.2900564670562744;2.3413265376210406;1.8969870004084757;1.9140767851858997;30544556
1985-07-01;2.119156837463379;2.324236677738542;2.0678869967666915;2.2729665982976486;11485110
1985-08-01;2.067887544631958;2.153337460928307;1.9824378670798783;2.11915739891206;7190551
1985-09-01;1.8457173109054565;2.0678869319532898;1.6748177676915685;2.0507971447528397;10996584
1985-10-01;2.033707857131958;2.221697233725816;1.7773580018504838;1.8286279729067785;9996459
1985-11-01;1.606457233428955;2.084976792858505;1.5722775462753091;2.033706963697846;22909425
1985-12-01;1.6748183965682983;1.7260883742814828;1.5380983764183775;1.589368354131562;12356323
1986-01-01;1.5722780227661133;1.760267493117525;1.503917792137202;1.6748179509070873;21936035
1986-02-01;1.4697380065917969;1.6064574935792373;1.4697380065917969;1.5893677069209264;16656373
1986-03-01;1.8969870805740356;1.931167248433729;1.4868276924436354;1.503917477943264;30926514
1986-04-01;1.7260873317718506;1.9995266100611124;1.6406372215725042;1.8457168891905764;12381959
1986-05-01;2.0166165828704834;2.1191564860018497;1.657727280026951;1.7260874939827222;13408813
1986-06-01;1.8969870805740356;2.0507969406520012;1.7089971720084642;2.0166166534202206;13205565
1986-07-01;1.5380977392196655;1.9995269893623087;1.5210079526820852;1.8969871957879751;19479492
1986-08-01;1.4355581998825073;1.5722781989743542;1.2988382007906607;1.5210083485300687;9785160
1986-09-01;1.623548150062561;1.7089977008638035;1.2475683359552314;1.41846839253471;16267457
1986-10-01;1.5039180517196655;1.6235482670677328;1.3842884332322625;1.6064579975594577;5580323
1986-11-01;1.401377558708191;1.6406372787434327;1.3330178262828127;1.4868275525131227;9094115
1986-12-01;1.1279383897781372;1.4697380790816017;1.0595786429128062;1.418468119717477;16673584
1987-01-01;1.657727837562561;1.7602676558085668;1.0937585387792212;1.1279385975666796;27993529
1987-02-01;1.606457233428955;1.811536908187818;1.5380975010054352;1.6406372786988288;30202149
1987-03-01;1.5039180517196655;1.6235482670677328;1.4184684947602817;1.5893682055397136;12415283
1987-04-01;1.401377558708191;1.503917336404372;1.2817478777486842;1.469737768621873;9937866
1987-05-01;1.5380977392196655;1.6406375327939993;1.3501078192364844;1.418468039735657;10439574
1987-06-01;1.401377558708191;1.7089970111688106;1.3842877748169413;1.555187284938501;9529176
1987-07-01;1.657727837562561;1.8457176834050897;1.4013781128893616;1.4013781128893616;24900878
1987-08-01;1.7431774139404297;1.845717205644176;1.6235477166387715;1.6577274084625022;10907961
1987-09-01;1.9482567310333252;2.1704260566848816;1.7431770688523398;1.7602668516949798;32037967
1987-10-01;1.1792083978652954;1.948257342614653;1.0595786866929287;1.948257342614653;26608521
1987-11-01;1.0253982543945312;1.2646579465633068;0.974128311831789;1.2646579465633068;11379640
1987-12-01;0.9399488568305969;1.1108490016720405;0.8715890853871654;1.0595790238742866;12248293
1988-01-01;0.9912182688713074;1.0253984355725447;0.8374085333784466;0.9912182688713075;11182616
1988-02-01;0.9399488568305969;0.9912187749422786;0.9057692098531694;0.9741289812966009;7710204
1988-03-01;0.957038938999176;0.9912185792278929;0.8886787035647777;0.957038938999176;9546752
1988-04-01;0.9741283655166626;1.0083084086902172;0.8544986918974956;0.9570385229879882;11192505
1988-05-01;1.1450281143188477;1.1621184977408285;0.9228586209494515;0.9570387312468924;10744260
1988-06-01;1.1792083978652954;1.1962981860726247;1.0595786866929287;1.145028224590106;7518677
1988-07-01;1.1450281143188477;1.1962980708638433;1.0595785846508368;1.1621184977408285;5750977
1988-08-01;1.1279383897781372;1.2475680960075928;1.110848602276931;1.1450281772793434;6892823
1988-09-01;1.2817479372024536;1.3842878390270157;1.1279382038376924;1.1279382038376924;13465209
1988-10-01;1.2988380193710327;1.2988380193710327;1.1792084248347463;1.281748230772846;8109375
1988-11-01;1.247568130493164;1.469738119708448;1.2133884351738473;1.2988379719024006;16602906
1988-12-01;1.2988380193710327;1.3159284048297637;1.1792084248347463;1.2475681760880373;7196044
1989-01-01;1.4355581998825073;1.4697383787136575;1.2817484098053995;1.2988382007906607;11893798
1989-02-01;1.401377558708191;1.4868275525131227;1.3501076101740623;1.435557603978994;12628418
1989-03-01;1.623548150062561;1.657727851010934;1.3671985426818403;1.41846839253471;17609254
1989-04-01;1.7089970111846924;1.7944471243624942;1.503917336418348;1.6235474948672706;10081418
1989-05-01;1.9140771627426147;2.0166169659821436;1.640637687437204;1.6919076487430214;11455811
1989-06-01;1.8969870805740356;2.0507969406520012;1.5893675991622793;1.8969870805740359;18730225
1989-07-01;2.3242366313934326;2.3925967359515283;1.86280711934729;1.8969872909984384;14599732
1989-08-01;2.597676992416382;2.5976769924163823;2.2216970727495493;2.3584170652415106;15482666
1989-09-01;2.5805861949920654;2.6831261181108097;2.4951367763389056;2.580586194992065;13093505
1989-10-01;2.6660358905792236;2.8540256788633536;2.2216964561105996;2.5976762714230333;25357545
